name,price,first_name,last_name,above_100
William Dixon,109.0372796,William,Dixon,true
Kristen Horn,262.5246522,Kristen,Horn,true
Kimberly Chang,187.0072583,Kimberly,Chang,true
Mary Ball,283.1746476,Mary,Ball,true
Benjamin Craig,143.8715817,Benjamin,Craig,true
Cathy Werner,61.50899135,Cathy,Werner,false
Brandon Bell,48.6373091,Brandon,Bell,false
Paul Farley,12.38946479,Paul,Farley,false
Sarah Mcdaniel,151.5954472,Sarah,Mcdaniel,true
Caroline Anderson,75.62152103,Caroline,Anderson,false
Carl Jones,147.0294047,Carl,Jones,true
Scott Lee,244.1856527,Scott,Lee,true
Kaylee Coleman,17.86427032,Kaylee,Coleman,false
Charles Parker,215.537283,Charles,Parker,true
Susan Hess,38.35997063,Susan,Hess,false
Kiara Collier,204.1825486,Kiara,Collier,true
Mr. Scott Martinez,165.8514289,Mr.,Scott Martinez,true
Christopher Ortega,30.30144506,Christopher,Ortega,false
Michael Russell,243.1724911,Michael,Russell,true
Dwayne Johnson,287.4932856,Dwayne,Johnson,true
Patty Smith,180.2344257,Patty,Smith,true
Deanna Sherman,99.79911842,Deanna,Sherman,false
Douglas Francis,161.7688908,Douglas,Francis,true
Vicki Diaz,18.64987672,Vicki,Diaz,false
Robin Phillips,244.9119836,Robin,Phillips,true
Travis Rice,141.4988254,Travis,Rice,true
Ashley Rocha,50.00303731,Ashley,Rocha,false
Sarah Jacobson,80.48182457,Sarah,Jacobson,false
Kayla Shannon,98.91531394,Kayla,Shannon,false
Sean Wang DDS,220.6282177,Sean,Wang DDS,true
Richard Estrada,49.16869151,Richard,Estrada,false
Joseph Torres,150.1237842,Joseph,Torres,true
Kim Jones,18.8434377,Kim,Jones,false
Melissa Tanner,269.1840299,Melissa,Tanner,true
Jackson Cline,64.31251721,Jackson,Cline,false
Sonya Foster,296.2155012,Sonya,Foster,true
Allen Williams,15.3908317,Allen,Williams,false
Mr. Thomas Rivera,95.22843716,Mr.,Thomas Rivera,false
Jamie Silva,296.8244075,Jamie,Silva,true
Kathleen Moore,92.50052419,Kathleen,Moore,false
Evelyn Pineda,169.2289293,Evelyn,Pineda,true
Kyle Peters,106.7990952,Kyle,Peters,true
Anthony Cruz,49.10199817,Anthony,Cruz,false
Eric Flores,122.9556986,Eric,Flores,true
Anna Richardson,254.4952606,Anna,Richardson,true
Gary Harper,47.59652592,Gary,Harper,false
Linda Johnson,115.3627815,Linda,Johnson,true
Melissa Smith,87.97994846,Melissa,Smith,false
Kristen Floyd,135.0230413,Kristen,Floyd,true
William Diaz,192.1491355,William,Diaz,true
Benjamin Smith,134.9052939,Benjamin,Smith,true
David Glenn,216.2910463,David,Glenn,true
Dawn Jones,271.6144999,Dawn,Jones,true
Joel Smith,14.4949198,Joel,Smith,false
Mr. Larry Grimes MD,268.6758682,Mr.,Larry Grimes MD,true
Joseph Arnold,121.7750468,Joseph,Arnold,true
Kyle Long,241.6216391,Kyle,Long,true
Brittany Day,261.5460574,Brittany,Day,true
Bobby Ward,63.5130358,Bobby,Ward,false
Thomas Lee,254.0755771,Thomas,Lee,true
Jennifer Hansen,101.4887352,Jennifer,Hansen,true
Lisa Murray,176.0919174,Lisa,Murray,true
Meghan Wade,273.2303409,Meghan,Wade,true
Tammie Brooks,84.88856949,Tammie,Brooks,false
Maria Bell,264.0746652,Maria,Bell,true
Allison Livingston,130.3484426,Allison,Livingston,true
Chris Hays,17.34276379,Chris,Hays,false
Courtney Mitchell,78.93257699,Courtney,Mitchell,false
Shawn White,188.0219256,Shawn,White,true
Taylor Gomez,225.0198237,Taylor,Gomez,true
Jeremy Rodriguez,200.7248208,Jeremy,Rodriguez,true
April Garcia,66.24555967,April,Garcia,false
Zachary Watts,15.49738786,Zachary,Watts,false
Sarah Montoya,206.8212547,Sarah,Montoya,true
Jennifer Barker,89.18615989,Jennifer,Barker,false
Sharon Garza,72.35772704,Sharon,Garza,false
Tiffany Stevens,196.379322,Tiffany,Stevens,true
Ruben Armstrong,93.69836738,Ruben,Armstrong,false
Dr. Jeffrey Spencer,271.162282,Dr.,Jeffrey Spencer,true
Nicole Ramsey,247.8596071,Nicole,Ramsey,true
Anne Roy,277.9324821,Anne,Roy,true
Lori Sanchez,285.6616405,Lori,Sanchez,true
Allison Chavez,126.850211,Allison,Chavez,true
Marcus Adams,36.47040894,Marcus,Adams,false
Mary Smith,16.31507197,Mary,Smith,false
Joseph Reed,178.4576742,Joseph,Reed,true
Jason Armstrong,26.04525746,Jason,Armstrong,false
Jeff Armstrong,88.47561284,Jeff,Armstrong,false
